username,comment,channel,video,reference_date
muostafa20 Aboabdoh,"مصري عاشق تراب العراق 
بلاد الرافدين 
بحبكم من كل قلبي 
يا أطيب قلوب العرب",https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,6 months ago
mohamed adel,بحب الشعب العراقى كتير كتير  مصرى مر من هنا 🇪🇬,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,5 months ago
eman ahmad,مسكين ابو عبد يوم قالت زي ابويا 😅 فورا طلع لسانه وقال مافي زي ام عبد الله 😂😂😂,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,5 months ago
ابو حنين الشرع,والله ابو عبدالله تحطم لمن عرف انو مقلب كان مزهزه ومبسوط,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,6 months ago
الظل العابر,يا جمال العراقيات ماشاءالله,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,6 months ago
O D,"ابو عبدالله مصدك ومغلس 
وقميصه چنه بردتنه😂",https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,1 year ago
Azam Omar,تحيه من سلطنه عمان ل ام عبدالله😂😍🦋قويه ربي يعطيك العافيه 🚶‍♀️,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,5 months ago
سليمان المجاهد,اخوكم من اليمن ....بحبكم قوي قوي,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,6 months ago
بحر الراغبين,"ام عبدالله تقول ترى انتي سويتيها بدون ملح
ارتفع ضغطها 😭😂😂😂😂😂",https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,5 months ago
King,ابوعبدالله كان فحلم ماكان يبي يصحى منه😂😂😂😂😂,https://www.youtube.com/user/alrasheedmedia/videos?view=0&sort=p&flow=grid,https://www.youtube.com/watch?v=PoEqv9qTfdg,6 months ago
